utterance,intentions
i also need a,requestdeparturedestination
i need to go from the hobson house to whale of a time i need to leave the hotel at,informphonecar
that is everything,bye
no that was all thank,bye
thank you you too your business provides a really great,bye
im looking for a posh british restaurant to take my bird to know of,requestarea
any location is fine ill go with whatever you recommend please book me for 7 people on monday at,bookname
may i have the reference,informreference
i also need a train leaving on,requestleaveatarrivebydestination
departing from cambridge and going to london liverpool street leaving wednesday and want to arrive by,requestleaveat
i would like the train that gets me there close to,requestpeople
oh its the same group of people from the restaurant can i get the reference,offerbookreferenceticket
thank you so,welcome
nope thatll be all for today,bye
ill be traveling on monday and yes im going to,requestleaveat
 arrive by 0930 and should go to cambridge and i need nthe,offerbook
not right now but can you find me a gastropub restaurant in the centre of,select
sounds good  can you reserve a table for 6 at 1500 on the same day im,greet
no thanks i think thats all i needed,bye
i am looking for a guest house that i can stay infree parking is also an added,informnameparking
452018 ,select
i am looking for something in the moderate price range and free internet,informname
perfect what is the star and area of the,informstarsnamearea
thank you,bye
i am looking for a british restaurant,requestareapricerange
i would like it to be in the west and be,informpricerangenamearea
that sounds good what is the postal code,informnameaddresspostcode
no i can book it later thanks  can you help me find a train that leaves cambridge on,requestdestination
my destination is stansted,offerbook
i need to leave after,offerbook
no need to book it but can i get the travel time and what time it will get me to the,informarrivebydestinationtime
that is all thank you very,bye
i would to visit a college in the,informchoice
choose for me one that is good and get me the entrance fee and,recommendname
i also need a place to,requestfood
indian food in the same area as clare,requestpricerange
i would like it to be in the expensive price,informfoodareachoice
yes tuesday 1300 for 5,bookdayreferencetimenamepeople
that is all i need,bye
id like to find highend restaurant in the center of,requestfood
can i get a reservation for 7 at 1400 this coming friday please get me a reference number too ive had trouble in the past with lost,bookreferencedaytimenamepeople
i also need a place to stay a guesthouse with wifi would be,informchoice
are there hotels that meet that,requeststars
can you search the type of a,select
i prefer the expensive hotel can you book it for me for the same group of,recommendname
i need it for 5 nights for 7 people starting,bookreference
thank you for your,welcome
i am going to cambridge and i am looking for the cambridge book and print,informfeetypeareaaddress
what is their phone,informphone
thank you im also looking for a moderate price range restaurant that serves turkish,recommendaddressname
not right now thank you for your assistance have a wonderful,bye
actually is there a place in town that offers nice architecture to,recommendnamepricerangeareafood
i want a place that has latin,requestfood
how about some vietnamese food in the west,recommendnameaddress
yes i would like to reserve a table for a party of 8 at 1600 on friday  ive also got another question when youre done with that  thank,bookreference
you must be a mind reader my question was the reference number thank,welcome
i would like a cab to and from both places please make sure it is on time so i dont miss my reservation contact   car,requestdeparture
my apologies  my wife loves architecture and insisted i find a place glad i didnt forget  any areas fine but what about the same as the,requestpricerange
id like a place to go to in the category of architecture preferably,recommendaddressnamefee
that sounds fine can you get me a taxi from there to the restaurant ill need to arrive by 1600 for my,informphonecar
thank you so much thats all i will need,bye
no thats perfect ,bye
i need to book a,requestdeparturedestination
im at bishops stortford and would like to go to,requestday
i would like to travel this wednesday and need to leave after,requestarriveby
no anytime after 815 is fine maybe the first train after that,offerbook
yes that works i need the travel time and the train id,offerbook
yes thats all the info i needed thank,bye
i need a train from bishops stortford into cambridge,requestarrivebyleaveat
i would like to travel on wednesday and arrive by,offerbook
ok thats fine  i dont need to book that yet  i do need to find some places to go in the centre of town,informaddressname
that sounds nice what type of attraction is that oh and do you have their full address and phone,informphoneaddressnametype
no i am all set  have a great day ,bye
i need a place to go in cambridge that has sports in the,requesttype
sure id like to find something in the area of,recommendfeename
ok  what is the phone number for holy trinity,informphone
can i have the address and phone number,informaddressphonename
can you find me an expensive place to stay it should be only 4 stars and include free wifi and,selectarea
it doesnt matter  could you also get me the postcode for holy trinity church  i forgot to,informpostcode
what area is it,informarea
no that will be all thank you so,bye
hello im looking for places to go located in the south part of,requesttype
can i get the address for the,informaddress
i need to go on sunday sometime after,informchoicedayarrivebyleaveat
i take the first one at 1759 may i have the price and train,offerbook
yes i would like you to book a ticket and may i have the reference number,offerbookreference
thank you for your help that is everything i,bye
thank you that is all i,bye
id like information about your trains particularly ones leaving on,requestdeparturedestination
im traveling from norwich going to cambridge  i would like the train that leaves after,offerbookarrivebyleaveattrainid
sure just one ticket,offerbookreference
yes i am looking for a restaurant serving indian food in the city,requestpricerange
moderate please if that isnt available though i can do,recommendname
yes 1 person sunday at,bookdayreferencetimename
no thanks thats everything i,bye
i would like a 3star hotel with free wifi,requestarea
i dont have a particular area in mind but i do also need free parking,recommendnameparkingarea
that sounds nice but will you book it for 7 people and 4 nights starting from,bookreference
yes im also looking for a cheap chinese food restaurant can you recommend,recommendname
yes please book that restaurant for me itll be 7 people on wednesday at 1445 ill definitely need a reference,requesttime
thanks for trying lets do thursday,bookreference
thats all i needed today thanks for your help,bye
i would like to go to a nightclub in the,informfeetypenameareachoice
what is the postcode for soul tree,informpostcode
yes  are there any north indian restaurants close to the,requestpricerange
i would like something,informareafood
actually can you check for a chinese restaurant in the north,requestareafoodpricerange
no i didnt have any other,requestarea
do you have any cheap chinese restaurants in the,recommendname
great can i just get the,informpostcode
no thats all i need today thank,bye
im looking for more information on arbury lodge,informareanameinternetpricerangeparkingtypestars
yes please for 3 people 3 nights starting on,bookreference
thanks thats all good,bye
how about french,informpricerangenamefoodarea
yes could i have their phone,informphonename
thank you ,bye
i am looking for places to go in town the attraction should be in the type of,informareaname
can i get the entrance fee and postcode,informfeepostcodeaddress
thank you i plan on going here so lets get a train ticket,requestleaveat
i actually dont need a train i need a guesthouse id like something expensive in the north with free wifi if,requestpricerangearea
what about something cheap,requeststars
no which one of the two would you,recommendname
yes that will be great ill need it booked for saturday 3 nights and 5 people,bookreference
yes ill also need a taxi ill need to commute between the two,requestdeparture
i will leave from the attraction to the,requestleaveatarriveby
i want to leave by,informphonecar
no thank you thanks for everything,bye
can you help me find a moderately priced restaurant in the center of,requestfood
no preference really whatever you,recommendpricerangeareafood
cool i would need the address postcode and phone,informphonenameaddresspostcode
okay great im also looking for an attraction in the same area id like it to be multiple,recommendname
that sounds perfect do you know the entrance,informfeetype
i need to book a taxi to commute between the 2 places i want to leave the restaurant by,requestdestination
ill be headed to the cherry hinton of,informphonecar
thank you thats all i need for,bye
thanks so much you have been a huge,bye
yes i would also like for it to be a guesthouse style and in the area of east thank,selectpricerange
i dont have a preference on price it also doesnt need to have free,recommendname
that sounds lovely i also am looking for an italian restaurant in the moderate price range can you help,selectarea
id like a place in the east,informname
id like a reservation for 6 people at 1445 on,requesttime
yes lets try a little earlier at 1345 and i will need a reference number,bookreference
great i also need a taxi to commute between two,requestleaveatdestinationarrivebydeparture
sure ill be going from the hotel to the restaurant and of course i want to get there for that 1345,informcarphone
no thank you youve been very,bye
hi there im looking for a museum to go to thats in the centre of the,recommendname
what is the entrance fee for the museum of archaeology and anthropology,informfee
can you please provide the address and,informaddresspostcode
thank you i also looking for train that departs from cambridge and arrive by,requestdestination
there are two of us and wed like to go to norwich,requestday
we will be traveling on,informleaveatarrivebytrainid
the tr5892 would be great could i book two tickets for that train,offerbookpeoplereferencetickettrainid
you have been so helpful thank you i have no other requests good,bye
im looking for info about the curry king,informpricerangeareaaddressphone
can you please book the restaurant for 4 people at 1345 on,booktimepeopledaynamereference
i also need a sports place to go on the east side of,recommendtypename
great may i have their postcode,informpostcodephonename
that is all i need for now  thank you for your,bye
im looking for a hotel with free wifi and at least a threestar rating,inform
i would like a hotel that has free wifi and free parking it should be moderately priced with a 3 star,requestareapricerange
there arent any 3 star hotels that offer free wifi and park that is moderately,informtypechoice
i am not particular where are they,select
i would like whichever one is cheapest please,informpricerange
that wont be necessary im looking to book a train,requestdaydestinationleaveat
i need to leave friday  i need to arrive in cambridge by,requestdeparture
i am departing from london liverpool,informarrivebytrainiddeparturedestination
no on the hotel what is the train id for that one and how long is the travel,offerbook
no if youre sure there are no 3star moderately priced hotels with free parking then theres nothing else you can do for,recommendname
is the hamilton lodge a hotel or bed and,informtype
that sounds,informphoneaddress
go ahead and make a reservation,requeststayday
i would like to stay for 2 days and it will just be,requestday
i do not believe i need a reservation i have everything i need today thank,bye
can you find me a train on thursday  i am leaving from,requestdestination
im going to liverpool street in,requestarriveby
i want to arrive by,informtrainidarrivebyleaveat
no find me one that leaves after 0800,informarrivebytrainidleaveat
can you book for 8 people please include the reference,offerbookreferenceticket
i also need to find a place to visit in the west part of,requestnametype
theres nothing in particular could you recommend something fun to,recommendnamefee
can you give me the phone number,informphone
great what is their postcode,informpostcode
thank you that will do it for me,bye
i am looking for a place to stay the hotel should be in the moderate price,requestparkinginternet
i would like a guest house with free,requestarea
no it,informstarspricerangename
1 room and ill need it for 2 nights starting,bookreference
i am also looking for a train on the same day to,offerbook
yes and thank you kind person for helping,offerbookticketreference
no thats everything  youve been great thanks,bye
thank you,bye
hi i am looking for a nice hotel to stay in  i would like it to include free parking  internet access is not,requestpricerange
i dont care about the,recommendtypenamestarsarea
do they have,informinternet
yes please give me reference,bookreference
id also like a recommendation for a restaurant in the same area as the,requestfood
surprise me what is the best choice,recommendnamepricerangeareafood
yes please i need reservations for 1230 on friday there are 5 in my,bookreference
that is all thank,bye
great have a great,greet
i need to find a moderately priced vegetarian,requestfoodpricerange
okay what about international,select
make a reservation at bloomsbury please for thursday,requestpeopletime
please book for 6 people at 1700 on thursday id also like the reference,bookreference
im also looking for a train it should depart cambridge and go to stansted airport on thursday arrive by,offerbooktrainidarrivebyleaveat
that would be just,requestpeople
i dont need to book but could you tell me the total travel time,informtime
no i think that should be all for me today thank you so much youve been very,bye
greetings i need a train leaving on saturday after,informdeparturedayticketleaveat
is it going to broxbourne  that is where i am,informleaveatdeparturetrainidticket
yes that works just fine can you please book me a,requestpeople
i just am looking for one in the centre can i get the phone number of,informfeephonename
ok thank you that will be all i need for,bye
i dont have a preference for location but it should be in the moderate price range and should have a star rating of,requestarea
it should also include free,selecttype
yes ill need accomodations for 8 people and 3 nights starting from,recommendnamearea
acorn please could you book,bookreference
thank you that should be it thank you for your,bye
i am traveling on tuesday and going to,informleaveattrainid
yes that sounds good can you get me 5 tickets,bye
can you get me the reference number,offerbookreference
thanks  im also looking for a hotel named the huntingdon marriott,informnameareatypestarspricerange
yes 5 people for 5 nights starting thursday  please book it for me,bookreference
that is all for now ,bye
im looking for a museum in the,informareaname
yes thank you may i have their phone,informphone
can i also have the,informpostcode
yes im also looking for a train from cambridge that will leave after 0830 it should leave on thursday and i want to travel to bishops,offerbook
can i just get the price on that,informticket
thank you thats all i need,bye
i need a train leaving from stansted,requestleaveatday
sunday i can leave any time after,offerbook
yes i will need it for 7,offerbookreferenceticket
yes i need a place to go in the centre of,requesttype
we would like to enjoy some entertainment  can you suggest something of this,requesttype
is there a,informaddresstypename
no thats actually everything i needed thank you,bye
i kind of need some help finding a nice hotel in the north part of,informareachoicepricerange
do either of those have 4,requestareastars
a 4 star guesthouse in the north would be fine,requestpricerange
no it doesnt what place would you,recommendnamepricerange
yes ill need a reservation for 3 nights starting sunday there are 3 people in my,bookpeopledaystay
great to hear that can you provide me also with reference,bookreference
thats all i needed,bye
can you help me book a train on,requestdestination
i want to go to,requestleaveat
i need it to leave after 0815,offerbook
yes please book just one ticket for,informtickettrainidleaveat
yes what is the reference number for the,offerbookreference
no that is all for now thank you for all your,bye
that is all thank,bye
i am looking for a cheap restaurant that is in the north part of,requestfood
,informpricerangenamefoodarea
are there any other,informfoodnameareapricerange
that sounds great  may i have their address,informnameaddress
thank you very much  bye,bye
yes i am looking for an early evening train leaving from cambridge is there one,requestday
tuesday going to bishops stortford,requestarriveby
i would need to arrive by,select
how much will it cost and how long will the trip,informtickettime
i also need a guesthouse to stay in it doesnt need to have free parking or,requestpricerange
i am looking for attractions in the,requesttype
i would like the attraction in the centre and i would like the amount of the entrance fees in the centre,informtypefeechoice
actually can you find a train to birmingham new street for me i need to leave after,requestdepartureday
should depart from cambridge and go to birmingham new,requestarriveby
it doesnt matter the first train after 1945 works for me i need to book it for four people and please provide the reference,offerbookarrivebytrainidleaveatreferencepeople
no that will do it  thank you for all your,bye
im looking for a hotel with free wifi that is,requeststarsareaparkingtypeinternet
i want it to have a 4 star rating and have free parking,recommendname
i need to get a reference number first this booking is for 7 people and 3 nights starting from,bookreference
excellent im also looking for a,requestfood
how about some cheap italian located in the,informname
yes please for the same amount of people on the same day at,booktimenamereference
could you also help me with a taxi between the hotel and,informphoneleaveatcar
no that will be all thank,bye
can you help me find some local tourist,requesttypearea
i am interested in something in the centre of town are there any entertainment options,requestarea
are there any colleges i could check,recommendname
what do they have to offer,informfeeaddress
great can i have the phone,informphone
im also looking for a barbeque restaurant in the same area as the,requestfoodarea
how about asian oriental,requestpricerange
i would prefer a cheap,informfoodnameareapricerange
it sounds yummy please book a table for saturday at 1930 for 7,bookreference
that is all i needed thank you for your,welcome
i keep hearing about this great museum called the fitzwilliam can you tell me a little about,informfeeaddress
yes please,informphone
i also need a train from ely to,requestday
ill be travelling on wednesday and would like to arrive by,offerbook
yes please book me for 4 people this is a surprise family trip,offerbookticketreference
that is all thank you for your,welcome
hello im looking for an expensive restaurant that serves british food,requestarea
no there is no particular area i would like to be,recommendaddressareaname
i would also need the phone,informphone
yes im looking for a train thats heading to cambridge by,requestdaydeparture
i really only need a train for that route thanks for your,bye
i want to book a,requestdeparture
i need to go from rajmahal to queens college at 130,informcarphone
thanks thats all have a good,bye
hello i am looking for an expensive restaurant that is on the east side of,informpricerangeareaname
what is the,informnamepostcode
what is the address phone number and type of,informphonefoodnameaddress
no thank you ,bye
you,bye
can you find me a three star place to,requestarea
i dont have an area preference but it needs to have free wifi and parking at a moderate,recommendphonename
okay sounds great can you book a room for,requeststaypeople
actually i dont need a room right now but i do need a train ill be heading out to kings lynn on,requestleaveatarriveby
i was hoping to leave from cambridge some time after,offerbook
can you book tickets for 4 people,offerbookreference
that is all i need to know thank you good,bye
i am looking for a hotel with a three star rating and a cheap,requeststarspricerange
do you have a guesthouse that meets my,requesttype
i would like a guesthouse that meets all my previous criteria except now i want one in the moderate price range and it doesnt need to include,informareaname
not yet but i would like their telephone,informphone
thank you that is all the information i,bye
hi i am looking for a restaurant i would prefer an expensive restaurant in the west of the,informchoice
is there a british one,informchoicename
i am looking for some rest as a traveler so i choose travellers rest there will be four of us for saturday at 1100 please,inform
can you try for 1000,booktimereference
i would also like to find a college to,requestarea
is there a college on the west side of town by the restaurant travellers rest  i will need the colleges address and phone number,recommendname
yes i would also like to book a,requestdeparturedestinationleaveat
i would like to be picked up at queens college on silver street and taken to travelers west i want to make the reservation on,informcar
could you provide a contact number,informphone
great that is all i needed thank you for your help,bye
can you help me find some place to go in town where i can find some entertainment,requestarea
no i could go anywhere what are my,informchoice
no just recommend one for me ,recommendareanameaddresspostcode
thank you for the recommendation is there an entrance fee at,informfee
yeah i want info about a particular,requestfood
i just need to know the area phone number and postcode,informpostcodenamearea
no that will be all thank you very,greet
yes thanks a,welcome
hi  i a looking for a cheap place to stay  what can you recommend for,requestareatype
i would like something in the east of the city i dont care about,recommendpricerangenamearea
that sounds good thank,inform
yes i need a reservation for 2 people for 4 nights starting on,requeststayday
sure can you try just 2 nights,bookreference
no that would be,bye
yes im visiting cambridge and want to know about cambridge artworks in,informtypeaddress
can i please have the phone,informphone
i need a 4star place to stay in the north part of,requestpricerangeinternetparking
no i dont really have a reference for any of those i dont even need,informaddressname
does it have free,inform
yes book it for 4 people and 5 nights starting,requestdaystay
how about 4,bookreference
i was hoping you can help me find a place to go that has to do with,recommendtypeareaname
i also want a moderately priced polynesian,requestpricerangefood
could you check,greet
how about chinese,recommendpricerangenameareafood
nah thats not necessary i just need the postcode,informpostcodename
i am traveling between the two places i need to leave the restaurant by,informphonecar
thank you for all your help that will be all for,bye
i need to know if any trains are running to broxbourne on saturday that arrive by,informarrivebydayleaveatdeparturedestinationtrainid
great can you get me 8 tickets,offerbookreference
i also nned to find a guesthouse to stay in that is 4,informchoice
do any of them have free,informinternet
ok great i need a room booked for 8 and for 5 nights starting on the,informchoiceinternet
you can just pick one for me id like a 4 star guesthouse with free wifi i need a room monday for 5 nights and 8,bookdaypeoplenamereference
no that will be all thanks youve been a great help,bye
i would like to know the location and types of museums that are in cambridge can you give me more,requestarea
i do not have a preference on,requestpricerange
it doesnt matter just pick a great one for me and ill need the postcode for the museum that you recommend for me,informnamepostcodearea
i also need a train on monday leaving from cambridge and arriving by,informdeparturedestinationdayarriveby
no i need to go catch a,informarriveby
yes that would work  can i get a price and a departure time please,informticketleaveattrainid
thank you for your,bye
i would like to book a,requestareatype
the hotel should be rated 2 stars and should include frees,select
can you book it for 2 people we can staying for 5 nights starting,greet
it does not matter i am looking for a place to go in the west,recommendnamefeeaddress
thank you that is all i,bye
yes i am looking for an early evening train leaving from cambridge is there one,requestday
tuesday going to bishops stortford,requestarriveby
i would need to arrive by,select
how much will it cost and how long will the trip,informtimeticket
i also need a guesthouse to stay in it doesnt need to have free parking or,requestpricerange
what are my options for guesthouses im not sure about the area price or,select
you choose let me know the area price range and star rating of the,recommendpricerangestarsnamearea
thats great then ill talk to you sometime,inform
no thats it for today thanks,bye
hello can you give me some information on places to go in,requesttype
i would like to go to a swimming,requestarea
no area preference in mind please get me the address and entrance fee  if any  for one of,informnamefee
ok whats the,informnameaddress
yes are there any seafood restaurants in the,recommendnameareafood
yes please i need it for 6 people for 1415 on a wednesday i will need the reference,bookreference
thank you that is all i need for now have a great day,bye
do you have one that is in the moderate price range and serves modern european,informchoicepricerangeareafood
great can you make a reservation for 1 at 1145 on wednesday  please send me the reservation number once,bookreferencedaytimename
yes im also looking for an attraction in the centre of town are there any boats that i can,informnameareachoice
yes please and can i get their phone number how much does it,informnamephoneaddress
i would like to arrive by 1145 on wednesday can i get the car,informarrivebyphonedestinationcardeparture
thank you that is all the info i,greet
i am looking for a cheap restaurant in the west part of,selectfood
italian please can you book a table for me for 3 people at 1200 on,informname
no that will be all,bye
i need a place to grab a bite to eat today in,requestfood
i would like a chinese,requestpricerangearea
yes i am looking for expensive chinese food in the,informchoicename
can you book me a table at the peking restaurant for 4 people at 1130 on,bookreference
im also interested in visiting sidney sussex,informfeephoneaddress
no that is all i needed to know  thank,bye
can you give me information on a restaurant called,informfoodaddressname
i would like to book a table for 2 for wednesday,requesttime
are there any other restaurants in that area in the same price,informfoodpricerange
if travellers rest is in the same area as grafitti then that will be all thank you for your,bye
im looking for a museum in east,informfeetypechoice
can you give me the address and phone number of the free,informnamefeephoneaddress
that will do thank you i also need a restaurant in the moderate price,requestfood
in the same area as cambridge,informnameaddress
yes i need to book it for saturday at 1730 just for,bookreference
thanks thats it for today thanks again,welcome
im looking to find a place to eat in the centre of town that needs to have a moderate price range  can you give me some,select
is there a lebanese option im really craving some lebanese right,informaddressnamefood
can you please get me a reservation at ali baba for tonight at,requestpeople
actually can i just get the address there for now,informnameaddress
thats all i need thanks for your,bye
i want to find a place that serves australasian,informfood
ok is there anything for modern european,requestpricerangearea
i dont,informname
sounds good  what is the phone,informphone
no thank you ,bye
i am looking for a train to cambridge that leaves on,requestdepartureleaveat
im leaving ely and want to be in cambridge by,requestleaveat
no i dont need to leave by a particular time i want to arrive by 1215,selectarrivebytrainid
yes it would please make a booking for 3 people and provide the reference number i will also need a place to,offerbookreferenceticket
i am also looking for a place to stay the hotel should be in the type of guesthouse and should have a star of,informchoice
no you can choose one for,recommendtypepricerangeareanamestars
yes please 4 people for 5 nights on,bookreference
thank you,bye
ok thank you for the,greet
hi can you help me find a train arriving by 1900 that leaves on,requestdeparturedestination
i will b departing from cambridge and arriving in,offerbook
yes i will actually need 8 tickets it will be a group of,offerbookreferenceticket
could i also find an expensive restaurant in the,requestfood
an italian restaurant and i need a reservation for 8 at 1315 on,requestarea
no just choose another type of expensive place to dine for me and book a table at 1315 for 8 people from,recommendnamefood
thanks that is all for now,bye
we will be in the west part of town and would like to go to a restaurant while we are,requestfood
i would like an indian food restaurant in the expensive,recommendname
yes please  i need a table for one at 1700 on tuesday,bookreference
can you tell me if there is a concerthall in the same area as this restaurant if not is there a,informchoicetypefee
okay could you give me the entrance fee and phone number information for your favorite museum,recommendfeephonename
thanks i dont need any more help today,bye
are there any guest houses currently available iin the moderately priced,requestarea
yes i would like to be in the north with the same requirements thank,requestinternetparking
it really doesnt matter but ill need to know if the particular hotel has free parking and internet,informstarsparkingchoiceinternet
i will hold off on the booking for now but thank you i am also looking for a particular restaurant called stazione restaurant and coffee bar can you give me,informareafoodpricerange
can you book a table for four on thursday at,bookreference
thank you for all your,bye
im looking for a guesthouse to stay in in the,requeststarspricerange
i would like one in the cheap price,informpricerangename
could i get the,informnameaddress
yeah um how about i can see,informareaphonefeename
what exactly is,informtype
going back to rosas bb can you tell me if they offer free wifi then maybe you can help me arrange a taxi as,informinternet
i would like to get a taxi to leave rosas bb by 2245 to go to,informphonecar
i need a taxi as,inform
thats all i need thank you,bye
i need a hotel with free,requestarea
doesnt matter  i also need free,requestpricerange
could you find me one with a star rating of,select
no area does not matter please recommend,selectname
it seems we are on different pages here ok just please book a room for at the gonville hotel 1 person 4 nights starting,bookdayreferencestayname
yes i also need a lebanese restaurant in the center of,informpricerangefoodnamearea
i cant wait please book a table for 1 at 1300 on friday,bookreference
that is everything thank,bye
i need to first find out what train will take me away after i am done  i need to get to peterborough on sunday by,requestdeparture
departing from cambridge i need the departure time train id and,informtickettrainiddestinationarrivebychoiceleaveatdeparture
thanks im also looking for a place to stay in the,informtypeinternetaddressparkingstarsnamepricerange
yes i am going for luxorious today  i need to find an expensive restaurant in the,requestfood
id prefer italian food please,requestname
no i was hoping for a,recommendname
sounds good can you reserve me a table for 8 people on wednesday at 1315,booktimereferencedaypeople
i need a train to stansted airport on thursday that arrives by,offerbookdepartureleaveatarrivebydestination
what is the travel time for that,informtime
nope you have been,bye
can you help me find a train leaving on tuesday departing from,requestdestination
i would like to go to kings lynn,requestleaveatarriveby
i would like to arrive by,offerbook
yes please make a booking for 3,offerbookreferenceticket
i am looking for museum type attractions in the centre of,select
i would like one with free,informaddressnamefee
thank you very much that is all ill,welcome
you welcome and good,bye
yes i need a train for,requestleaveatdestination
im departing from norwich on tuesday and need to arrive in cambridge by,offerbook
yes how long is the travel,informtime
great this information is all i need thank you for your,bye
hello im looking for a train out of,requestdestinationday
i would be leaving on friday and i would be traveling to london liverpool street and i would like to leave after,informleaveattrainid
ill take the earlier train could you tell me the travel time and at what time i will be arriving at london liverpool,offerbook
that would be great thanks i am also looking for a hotel i would prefer a 3 star hotel i do not need,requestarea
i dont really care could you please find me a moderately priced one though id like a 3 star if,selectarea
i would really like a guesthouse is one of those a,informareapricerangestarsnameinternet
yes can i get the phone number and address,informphonenameaddress
no i think thats it thanks for all your help,bye
actually i decided not to book it just now however whats the travel time for that,informdestinationtimechoicedeparture
id like a hotel in the moderate price range with free,requestareatype
what have you got with 0,recommendname
yes for one person id like it for 4 nights starting sunday please provide a reference,bookreference
thank you i think thats everything youve been a big,welcome
i am looking for a place in the centre of town that serves thai,informfoodareaname
of,informaddressnamephone
thank you,greet
i want to find a train leaving cambridge and going to bishops stortford can you help,requestleaveat
we need it to leave after 1700 on,informarrivebyleaveatdestinationtrainid
yes could you book one ticket for me and give me the reference,offerbookreference
perfect thanks yes actually there is one more thing please get me information on the huntingdon marriott,informstarspricerangearea
can you tell me if they have free,informparking
i think that is all i need thank,welcome
ive really got to go,bye
hi i would like to find a place to stay in cambridge with free,requestpricerange
in the moderate price range please oh and it needs to be a,requestarea
the area doesnt matter but i need to know if they have free,requesttypepricerangeareainternetstarsparking
im looking for a place to stay a guesthouse it needs to be in the moderate price range and needs to have free,informinternetname
could you tell me what area it is in and whether it has free,informnameparking
i also need a train for friday departing from ely to cambridge for 5 people and arriving by 1630 can you book this and get a reference number for,offerbookticketarrivebytrainidleaveatreference
great thank you for your help,bye
hello i need to find a hotel with free wifi and free parking can you help,requeststarsareapricerangetype
can you find me a guesthouse that is,requestpricerange
how about in the moderate price,requestareainternetstarsparking
could you recommend one with free wifi and free parking in the moderate price range and give me the star rating and phone,recommendnamephonestars
thank you that will be all,bye
im looking for a moderately priced hotel to stay at that includes free wifi can you,requestarea
i would like to stay in the east if,recommend
yes but to help it doesnt need to have free,inform
can you pick one and send me the postcode address and phone,recommendnamephonepostcodeaddress
thank you i also need a reservation at the saffron brasserie for 2 people at 1545 on wednesday,booknamereference
that is it for today thank you very,bye
id like an expensive restuarant with chinese,requestarea
i would like to stay in the south,informchoicepricerangenamefoodarea
thank you so much that is all that i,bye
im looking for a cheap hotel that has free,requestareatype
i would like one with a 4 star rating is that an,informchoice
there is,recommendname
yes may i have the address for that,informaddress
do they have free,informinternetparking
i would like to think on it if possible but perhaps could you also help me find a chinese diner located in the centre it needs to be cheap,recommendnameaddress
what is the postcode of the,requestpeopletimeday
i dont need a reservation i just need the,informnamepostcode
yes i also need a taxi to take me from the hotel to restaurant i want to leave the hotel by,informcarphoneleaveat
and what type of car will be picking me,informcar
no thank you you have been very,bye
no that is all i need thank you for your,bye
is there any expensive restaurants in town serving australian,requestfood
how about asian oriental,informnamefood
what is the phone number and,informphonenamearea
thank you i have all i need ,bye
i  want to book a taxi the taxi should go to the lensfield hotel and should depart from christs,requestleaveat
awesome thank you that was all i was looking for today have a good,bye
good afternoon  i am trying to find an indian restaurant to eat at  i would prefer something expensive  can you help,requestarea
i would like it to be in the center i will need a number address and,informaddressnamephonepostcode
thank you for all that information  yes i would like to make a,requestdaypeople
yes i would like a reservation for one,requesttimeday
ive changed my mind i dont want to book it yet can you give me the area address and phone number,informaddressphonename
thats all i need today thanks for your,bye
i would like to find a place to go in the south part of,requesttype
sure a museum sounds,informnameaddressfee
great i also need a train leaving birmingham new street on,requestleaveat
i will need to leave by 1700,informleaveat
im sorry i forgot that as long as i leave after 1715 all will be fine i need to get to,offerbook
can i just have the price train id and arrival time,offerbook
no that will be all thank,welcome
could you just get me that phone number for byard art museum   i forgot to ask you,informphone
thanky you thats all i need,bye
i am looking for information in,greet
i would like to find a train to kings,requestdayleaveat
on friday and i want to arrive by,offerbookdestinationleaveattrainidarrivebydeparture
thank you how much would it,informticket
thank you could you recommend a college to,recommendname
perfect could you tell me their phone number and,informareaphone
no there is nothing further  thank you so much for your,bye
thank you i,bye
yes that will help,informphone
please i am also looking for an expensive restaurant to dine,requestfood
do you have a european,requestarea
im sorry i meant to say west before i am looking for a european place that is expensive in the,informname
get me its post,informpostcodename
can you book a taxi for me id like to leave the restaurant by 0300 and go to the,informphonecar
thank you that is all that i,bye
im looking for a casual sri lankan,informfood
what about,requestpricerangearea
i need one in the moderate price,select
i dont have a preference surprise,informnamefood
yes please i need it to be in the same area and moderate price,informreferencefoodpricerange
great thanks im all through here youve been a great,bye
hi i want to find an architecture attraction in the west,requesttypearea
are there any museums in the,recommendname
the folk museum sounds interesting  can i get the address and entrance,informaddressfee
yes  im looking for a 3star place to stay something moderately,informtypechoicename
as long as it is in the north and meets that criteria,informnameareapricerange
hamilton lodge and book for 2 people for 3 nights starting monday,informname
yes i also need a,requestdestinationleaveat
i want to leave the folk museum by 230 to go to the hotel can you get me the contact number and car,informphonecar
thank you for the info on the taxi and helping me find one have a great,bye
im looking for a cheap place to stay that has free,requestarea
the area does not matter but it should have a 4 star,informname
please book for 3 people for 5 nights starting from,bookreferencedaystaypeople
yes i also need a train that departs from stevenage and goes to,requestdayleaveat
i want it for monday and to leave after,informdayleaveat
yes please book it for 3,offerbookticketleaveatreference
thank you for your help  that is all for today  have a great,bye
hi i am planning a trip to cambridge soon and could use some help with a,requestdeparture
i will be departing from,requestday
leaving on monday after 915 i would like a booking for 3 people and the reference number as,offerbook
that sounds great i need to book that for three,offerbookreferencetrainid
could you also look up the hotel called hobsons,informnameareatypepricerange
i would like to book it for 3 people for 5 nights starting on,bookreference
awesome thanks a lot have a great,bye
hey thanks for helping it really means a lot to,bye
